äœë™ì˙,pH,"EC
(É S/cm)",êÖâ∑(Åé),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO3
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","É¬18Çn
(ÅÒ)","É¬Çc
(ÅÒ)",d-excess,ORP,êÖâ∑(Åé),É¬15N-NO3(ÅÒ),É¬18O-NO3(ÅÒ)
2024/4/8,7.39,102.2,15.7,4.61,0,2.11,1.85,10.89,2.33,0.8,10.8,37.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/5/15,7.33,102.8,18.5,4.37,0,2.04,1.61,10.52,1.8,0.58,10.62,37.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/6/14,7.66,96.3,24.5,4.1,0,1.92,1.81,11.11,1.51,0.5,10.25,43,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/7/19,7.5,100,24.2,4.72,0,2.22,1.95,11.19,1.8,0.56,9.36,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/8/9,7.78,105,26.7,4.58,0,2.41,1.85,11.66,1.5,0.5,8.52,35.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/9/5,7.1,88.7,22.5,3.83,0,1.91,1.69,10.09,1.16,0.69,8.16,32.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/10/24,7.83,100.6,20.3,4.37,0,2.26,1.88,11.42,1.97,0.73,9.83,39.5,-9999,-9999,-9999,-9999,-9999,14.32,5.96
2024/11/7,7.21,94.2,11.9,4.17,0,2.14,1.9,11.22,1.4,0.85,8.14,30.5,-10.14,-70.3,10.82,-9999,-9999,-9999,-9999
2024/12/16,7.84,107.9,7.6,4.35,0,2.04,1.88,11.01,1.69,0.65,9.05,32,-9999,-9999,-9999,-65.9,7.8,-9999,-9999
2025/1/9,7.5,100.7,4.9,4.36,0,2,2.02,11.82,1.82,0.62,9.33,36,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2025/2/21,8.41,105.8,8.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
